,C6orf223,KRT7,cg18949415,cg22193385
1,0.049121986,0.226501421,0.4740483,0.2256045
2,1.117127219,0.277385637,0.4775584,0.1318135
3,0.277457199,0.150985641,0.3571179,0.1992799
4,0.199925235,0.075030745,0.2942648,0.1611608
5,0.11432326,0.288835357,0.4227288,0.2405353
6,0.041213452,0.083812684,0.3743236,0.2793668
7,1.020843873,0.112724693,0.4326978,0.1420766
8,0.325702351,0.074965118,0.3184176,0.2869418
9,0.093178994,0.27800768,0.5214501,0.212593
10,0.165216624,0.201729446,0.526154,0.1840869
11,0.085906273,0.13702047,0.4692662,0.1880436
12,0.066451696,0.267095879,0.4772081,0.2659466
13,0.221426983,0.930541844,0.4170661,0.1410782
14,0.152022693,0.089529649,0.4657217,0.2658584
15,0.058095221,0.197678621,0.3946264,0.3341314
16,0.229045686,0.438393332,0.3801542,0.2830392
17,1.468572173,0.534253344,0.3803356,0.2389418
18,0.173363073,0.178197931,0.4732656,0.3190782
19,0.420671725,0.174089833,0.5239643,0.1798623
20,0.08624766,0.269904382,0.513992542,0.214640053
21,0.045862703,0.167696209,0.432949526,0.247761143
22,0.11338263,0.287936093,0.423469164,0.2403199
23,0.073507343,0.24981439,0.454854743,0.231188638
24,0.061723734,0.241233899,0.487606769,0.221882784
25,0.0495862,0.225372181,0.47398795,0.225130485
26,0.186822371,0.151056415,0.396564827,0.256142351
27,0.081272877,0.257238422,0.448742542,0.23296691
28,0.064252538,0.189695049,0.47208127,0.210154503
29,0.06803752,0.248615233,0.494399894,0.220018114
30,0.210480105,0.13809452,0.383252711,0.261388932
31,0.076677354,0.252844995,0.452359648,0.231914556
32,0.220394855,0.132662304,0.37767372,0.263587729
33,0.060216763,0.199512419,0.472605936,0.214275483
34,0.052833629,0.230049838,0.47112689,0.22645445
35,1.130978944,0.287509728,0.473726496,0.136035816
36,1.058186744,0.176587371,0.450096692,0.138096123
37,0.658623844,0.255540627,0.476051485,0.172078743
38,1.081350262,0.272515838,0.477270712,0.133764335
39,0.749850068,0.196356235,0.404161752,0.143565102
40,1.236144825,0.36437445,0.444633685,0.168092734
41,0.998718299,0.271744143,0.477169238,0.142212036
42,1.286700436,0.401325056,0.430648115,0.183503218
43,1.024599733,0.119147855,0.434447741,0.141676253
44,1.096453326,0.274571599,0.477392158,0.1329408
45,1.306898676,0.416087754,0.425060527,0.189660094
46,1.211908421,0.346660298,0.45133838,0.160704935
47,0.929686843,0.268455197,0.47694236,0.1482743
48,1.043185627,0.273862752,0.477315384,0.138306966
49,1.427288227,0.504079308,0.391756281,0.226357528
50,0.222458529,0.135347456,0.361123469,0.217924512
51,0.237768109,0.164111749,0.377442672,0.203855626
52,0.278660153,0.14909013,0.356152939,0.201465679
53,0.193329383,0.178808672,0.400199731,0.208978934
54,0.140206602,0.196377614,0.427403893,0.215103421
55,0.151203743,0.257671001,0.407895825,0.231208491
56,0.209748358,0.131733478,0.362049154,0.222233274
57,0.051313831,0.086684601,0.373587986,0.27594276
58,0.157426793,0.116856495,0.365859749,0.239970345
59,0.754211376,0.12644785,0.405589354,0.162593861
60,0.261646412,0.164345905,0.363476846,0.203278334
61,0.277689003,0.150620384,0.356931956,0.199701091
62,0.284074674,0.140558398,0.35180963,0.211303916
63,0.287383515,0.135344613,0.349155412,0.217316111
64,0.292152623,0.127829867,0.345329828,0.225981625
65,0.168748751,0.091980747,0.342115861,0.16851143
66,0.07025026,0.205279637,0.44885975,0.216575622
67,0.323452118,0.074966292,0.317985491,0.284691497
68,0.097669814,0.130624879,0.451210991,0.185270053
69,0.205327266,0.075027926,0.295302144,0.166562998
70,1.183244375,0.430970887,0.36097766,0.221448295
71,0.158489334,0.116650034,0.343663545,0.178867864
72,0.176204907,0.076343253,0.306230018,0.178827322
73,0.460268712,0.169269421,0.31192769,0.177122511
74,0.186206144,0.088810554,0.310620324,0.167023465
75,0.087535161,0.136134878,0.466766111,0.187659549
76,0.164230799,0.077005812,0.312270103,0.187745446
77,0.347155378,0.128324855,0.304253565,0.17018751
78,0.258214053,0.075000332,0.305457919,0.219451418
79,0.835316268,0.30502848,0.337372628,0.200116753
80,0.136302812,0.172635994,0.447794553,0.255299193
81,0.069456605,0.163015283,0.393023081,0.264365748
82,0.108423645,0.272290999,0.41882273,0.243668818
83,0.10449012,0.283799946,0.468639135,0.227540735
84,0.090786108,0.278146644,0.449514796,0.253029348
85,0.083034588,0.201092176,0.402012914,0.257153947
86,0.141539612,0.144950586,0.453766664,0.258816806
87,0.091214558,0.2667429,0.44091751,0.235243511
88,0.12677833,0.222989098,0.436932716,0.2489015
89,0.106674062,0.284918312,0.458442442,0.23042683
90,0.107476138,0.285329043,0.454697601,0.231486778
91,0.084910571,0.27547844,0.456201337,0.256148215
92,0.121772263,0.249454692,0.431223735,0.245538872
93,0.101864655,0.27692464,0.432534887,0.237682335
94,0.103292226,0.283186522,0.474232033,0.225957708
95,0.159675349,0.080128535,0.3510442,0.282521049
96,0.080349785,0.193563152,0.400235336,0.258579951
97,0.211155801,0.0785275,0.34092758,0.283891804
98,0.108314059,0.271983686,0.418750174,0.243727023
99,0.04767701,0.200430625,0.455827505,0.235427461
100,0.041454756,0.088166375,0.37736638,0.277726415
101,0.087568026,0.086204249,0.412557957,0.273715862
102,0.041839257,0.088033677,0.375076222,0.281396915
103,0.244053375,0.07750439,0.334462752,0.284767757
104,0.069480176,0.163081382,0.393038687,0.264353229
105,0.0469406,0.187144036,0.44654155,0.240433586
106,0.082453071,0.082530137,0.366219445,0.280464875
107,0.05604607,0.183857291,0.392161996,0.327483937
108,0.078499274,0.085736366,0.405077833,0.274821405
109,0.043945619,0.133107459,0.40877556,0.260793502
110,0.371329331,0.238906531,0.425555094,0.212621446
111,0.616786742,0.160034833,0.449891983,0.176808805
112,0.551217785,0.167712154,0.452682195,0.182445024
113,1.019961252,0.112896161,0.432688094,0.142172463
114,0.65444283,0.122246182,0.447028917,0.160091018
115,0.216775389,0.255986386,0.509625286,0.203197826
116,1.003704368,0.115778456,0.434337585,0.143379459
117,0.845034788,0.133309783,0.440179152,0.157188911
118,0.282358387,0.244301397,0.503350777,0.198212538
119,0.604947457,0.155987408,0.478124239,0.162496629
120,0.933266716,0.121834715,0.442263447,0.146376536
121,0.979095841,0.113809579,0.434330699,0.144129177
122,0.666943203,0.181477329,0.428805957,0.180514336
123,0.940599667,0.128313815,0.431815355,0.150792056
124,0.213052659,0.269655098,0.423814526,0.229812137
125,0.194247872,0.079053334,0.344250222,0.283441601
126,0.268502294,0.106304599,0.35060385,0.274256528
127,0.137485311,0.161273626,0.372017796,0.320131823
128,0.247477881,0.117823717,0.362434206,0.269593939
129,0.166918325,0.07990328,0.349620855,0.282713906
130,0.311082862,0.098001239,0.33014476,0.26037805
131,0.305068477,0.084426955,0.324293687,0.290580359
132,0.278100874,0.149971394,0.35660157,0.200449463
133,0.304075581,0.109042705,0.335765716,0.247645753
134,0.325168523,0.07498172,0.318522505,0.286927586
135,0.307656256,0.103400588,0.332893444,0.254151874
136,0.083332075,0.186106049,0.387439482,0.329681156
137,0.173808571,0.14461729,0.361673707,0.313726612
138,0.2551361,0.075001938,0.304866864,0.21637337
139,0.210167566,0.075025401,0.29623162,0.171403447
140,0.091505107,0.245558102,0.509439468,0.206942717
141,0.051263906,0.229005501,0.476352834,0.22497192
142,0.089380234,0.204365837,0.494192886,0.199770113
143,0.060239105,0.239498245,0.486009426,0.222321245
144,0.112998112,0.288156768,0.428915836,0.238784107
145,0.138837963,0.131760713,0.478208405,0.253923563
146,0.101174639,0.282102136,0.484118916,0.223159303
147,0.112557081,0.257488873,0.522715447,0.204924873
148,0.099793006,0.281394621,0.490569676,0.221333465
149,0.149735578,0.096855344,0.467887731,0.2637881
150,0.143743271,0.22446686,0.524751837,0.192584147
151,0.142141403,0.226163025,0.524647238,0.193218025
152,0.099323765,0.281154329,0.492760537,0.220713359
153,0.052404453,0.230338894,0.477579971,0.224635078
154,0.138776989,0.22972549,0.52442755,0.194549361
155,0.121168864,0.211128244,0.506384445,0.199839197
156,0.160057491,0.157856722,0.502523569,0.216061454
157,0.092639352,0.217215797,0.493579803,0.210041881
158,0.321197212,0.185503906,0.509116963,0.176428435
159,0.350668558,0.182438214,0.505897945,0.174981426
160,0.33730603,0.183828222,0.507357472,0.175637511
161,0.107175641,0.154374056,0.484522312,0.186982496
162,0.144467105,0.184800002,0.511270766,0.185122069
163,0.16248487,0.178498902,0.513641721,0.20101738
